name,lambda,fold #,pixels,pred error
james,0.004642,rep2,5578,10.87392329
james,0.004642,rep3,8785,10.03125896
james,0.004642,rep4,6245,10.53615995
james,0.004642,rep5,6305,11.0375581
james,0.01,rep1,3350,10.59322866
james,0.01,rep2,2821,10.96927349
james,0.01,rep3,3395,10.79758801
james,0.01,rep4,3319,10.71127368
james,0.01,rep5,3057,11.31896209
james,0.021544,rep1,940,12.86904866
james,0.021544,rep2,1134,12.7811869
james,0.021544,rep3,838,13.1492681
james,0.021544,rep4,710,12.51566493
james,0.021544,rep5,988,12.74470794
james,0.046416,rep1,228,24.06613773
james,0.046416,rep2,347,23.47914897
james,0.046416,rep3,70,25.87770965
james,0.046416,rep4,151,24.85947568
james,0.046416,rep5,62,26.11016537
james,0.1,rep1,301,19.88003113
james,0.1,rep2,550,19.09811879
james,0.1,rep3,646,20.97359495
james,0.1,rep4,0,37.29338553
james,0.1,rep5,160,24.731311
john,0.0001,rep1,12432,7.462139238
john,0.0001,rep2,12432,7.080890899
john,0.0001,rep3,12432,8.096484773
john,0.0001,rep4,12432,7.755531173
john,0.0001,rep5,12432,7.439532551
john,0.000215,rep1,12432,6.980380046
john,0.000215,rep2,12423,7.538833532
john,0.000215,rep3,12432,7.748503534
john,0.000215,rep4,12424,7.476030836
john,0.000215,rep5,12432,7.246582124
john,0.000464,rep1,12400,7.43370493
john,0.000464,rep2,11944,7.325831433
john,0.000464,rep3,12402,7.988919397
john,0.000464,rep4,12184,7.859388763
